REF_DATE,GEO,Age group,Sex,BMI,Number_of_Persons
2004,Canada,"Total, 18 years and over",Both sexes,Total Population,23985100
2004,Canada,"Total, 18 years and over",Both sexes,Underweight,471300
2004,Canada,"Total, 18 years and over",Both sexes,Normal Weight,9328300
2004,Canada,"Total, 18 years and over",Both sexes,Overweight,8646800
2004,Canada,"Total, 18 years and over",Both sexes,Obese,5538700
2004,Canada,"Total, 18 years and over",Both sexes,Obese Class I,3656400
2004,Canada,"Total, 18 years and over",Both sexes,Obese Class II,1230900
2004,Canada,"Total, 18 years and over",Both sexes,Obese Class III,651300
2004,Canada,"Total, 18 years and over",Males,Total Population,11860900
2004,Canada,"Total, 18 years and over",Males,Underweight,169600
2004,Canada,"Total, 18 years and over",Males,Normal Weight,3985700
2004,Canada,"Total, 18 years and over",Males,Overweight,4983900
2004,Canada,"Total, 18 years and over",Males,Obese,2721800
2004,Canada,"Total, 18 years and over",Males,Obese Class I,1959100
2004,Canada,"Total, 18 years and over",Males,Obese Class II,568300
2004,Canada,"Total, 18 years and over",Males,Obese Class III,194500
2004,Canada,"Total, 18 years and over",Females,Total Population,12124100
2004,Canada,"Total, 18 years and over",Females,Underweight,301700
2004,Canada,"Total, 18 years and over",Females,Normal Weight,5342700
2004,Canada,"Total, 18 years and over",Females,Overweight,3662900
2004,Canada,"Total, 18 years and over",Females,Obese,2816900
2004,Canada,"Total, 18 years and over",Females,Obese Class I,1697300
2004,Canada,"Total, 18 years and over",Females,Obese Class II,662700
2004,Canada,"Total, 18 years and over",Females,Obese Class III,456900
2004,Canada,18 to 34 years,Both sexes,Total Population,6970200
2004,Canada,18 to 34 years,Both sexes,Underweight,236000
2004,Canada,18 to 34 years,Both sexes,Normal Weight,3549300
2004,Canada,18 to 34 years,Both sexes,Overweight,2041000
2004,Canada,18 to 34 years,Both sexes,Obese,1143900
2004,Canada,18 to 34 years,Both sexes,Obese Class I,777700
2004,Canada,18 to 34 years,Both sexes,Obese Class II,226300
2004,Canada,18 to 34 years,Both sexes,Obese Class III,139900
2004,Canada,18 to 34 years,Males,Total Population,3581100
2004,Canada,18 to 34 years,Males,Underweight,71800
2004,Canada,18 to 34 years,Males,Normal Weight,1656600
2004,Canada,18 to 34 years,Males,Overweight,1212200
2004,Canada,18 to 34 years,Males,Obese,640600
2004,Canada,18 to 34 years,Males,Obese Class I,501300
2004,Canada,18 to 34 years,Males,Obese Class II,87200
2004,Canada,18 to 34 years,Males,Obese Class III,52000
2004,Canada,18 to 34 years,Females,Total Population,3389100
2004,Canada,18 to 34 years,Females,Underweight,164200
2004,Canada,18 to 34 years,Females,Normal Weight,1892700
2004,Canada,18 to 34 years,Females,Overweight,828800
2004,Canada,18 to 34 years,Females,Obese,503300
2004,Canada,18 to 34 years,Females,Obese Class I,276400
2004,Canada,18 to 34 years,Females,Obese Class II,139000
2004,Canada,18 to 34 years,Females,Obese Class III,87900
2004,Canada,18 to 24 years,Both sexes,Total Population,3144100
2004,Canada,18 to 24 years,Both sexes,Underweight,140000
2004,Canada,18 to 24 years,Both sexes,Normal Weight,1866600
2004,Canada,18 to 24 years,Both sexes,Overweight,779800
2004,Canada,18 to 24 years,Both sexes,Obese,357700
2004,Canada,18 to 24 years,Both sexes,Obese Class I,234800
2004,Canada,18 to 24 years,Both sexes,Obese Class II,69000
2004,Canada,18 to 24 years,Males,Total Population,1681000
2004,Canada,18 to 24 years,Males,Underweight,59300
2004,Canada,18 to 24 years,Males,Normal Weight,987800
2004,Canada,18 to 24 years,Males,Overweight,453300
2004,Canada,18 to 24 years,Males,Obese,180700
2004,Canada,18 to 24 years,Males,Obese Class I,129900
2004,Canada,18 to 24 years,Females,Total Population,1463100
2004,Canada,18 to 24 years,Females,Underweight,80700
2004,Canada,18 to 24 years,Females,Normal Weight,878800
2004,Canada,18 to 24 years,Females,Overweight,326600
2004,Canada,18 to 24 years,Females,Obese,177000
2004,Canada,18 to 24 years,Females,Obese Class I,104900
2004,Canada,18 to 19 years,Both sexes,Total Population,884900
2004,Canada,18 to 19 years,Both sexes,Underweight,58100
2004,Canada,18 to 19 years,Both sexes,Normal Weight,556500
2004,Canada,18 to 19 years,Both sexes,Overweight,167900
2004,Canada,18 to 19 years,Both sexes,Obese,102400
2004,Canada,18 to 19 years,Both sexes,Obese Class I,68400
2004,Canada,18 to 19 years,Males,Total Population,442000
2004,Canada,18 to 19 years,Males,Underweight,27600
2004,Canada,18 to 19 years,Males,Normal Weight,292200
2004,Canada,18 to 19 years,Males,Overweight,76700
2004,Canada,18 to 19 years,Males,Obese,45400
2004,Canada,18 to 19 years,Males,Obese Class I,33200
2004,Canada,18 to 19 years,Females,Total Population,442900
2004,Canada,18 to 19 years,Females,Normal Weight,264300
2004,Canada,18 to 19 years,Females,Overweight,91200
2004,Canada,18 to 19 years,Females,Obese,57000
2004,Canada,18 to 19 years,Females,Obese Class I,35200
2004,Canada,20 to 24 years,Both sexes,Total Population,2259100
2004,Canada,20 to 24 years,Both sexes,Underweight,81900
2004,Canada,20 to 24 years,Both sexes,Normal Weight,1310100
2004,Canada,20 to 24 years,Both sexes,Overweight,611900
2004,Canada,20 to 24 years,Both sexes,Obese,255200
2004,Canada,20 to 24 years,Both sexes,Obese Class I,166300
2004,Canada,20 to 24 years,Males,Total Population,1239000
2004,Canada,20 to 24 years,Males,Normal Weight,695600
2004,Canada,20 to 24 years,Males,Overweight,376500
2004,Canada,20 to 24 years,Males,Obese,135200
2004,Canada,20 to 24 years,Males,Obese Class I,96700
2004,Canada,20 to 24 years,Females,Total Population,1020200
2004,Canada,20 to 24 years,Females,Normal Weight,614500
2004,Canada,20 to 24 years,Females,Overweight,235400
2004,Canada,20 to 24 years,Females,Obese,120000
2004,Canada,20 to 24 years,Females,Obese Class I,69700
2004,Canada,25 to 34 years,Both sexes,Total Population,3826200
2004,Canada,25 to 34 years,Both sexes,Normal Weight,1682800
2004,Canada,25 to 34 years,Both sexes,Overweight,1261200
2004,Canada,25 to 34 years,Both sexes,Obese,786200
2004,Canada,25 to 34 years,Both sexes,Obese Class I,542900
2004,Canada,25 to 34 years,Both sexes,Obese Class II,157200
2004,Canada,25 to 34 years,Both sexes,Obese Class III,86100
2004,Canada,25 to 34 years,Males,Total Population,1900100
2004,Canada,25 to 34 years,Males,Normal Weight,668800
2004,Canada,25 to 34 years,Males,Overweight,758900
2004,Canada,25 to 34 years,Males,Obese,459900
2004,Canada,25 to 34 years,Males,Obese Class I,371400
2004,Canada,25 to 34 years,Females,Total Population,1926100
2004,Canada,25 to 34 years,Females,Normal Weight,1013900
2004,Canada,25 to 34 years,Females,Overweight,502200
2004,Canada,25 to 34 years,Females,Obese,326400
2004,Canada,25 to 34 years,Females,Obese Class I,171500
2004,Canada,25 to 34 years,Females,Obese Class II,101700
2004,Canada,25 to 34 years,Females,Obese Class III,53200
2004,Canada,35 to 44 years,Both sexes,Total Population,5105800
2004,Canada,35 to 44 years,Both sexes,Underweight,112000
2004,Canada,35 to 44 years,Both sexes,Normal Weight,2104700
2004,Canada,35 to 44 years,Both sexes,Overweight,1846200
2004,Canada,35 to 44 years,Both sexes,Obese,1042900
2004,Canada,35 to 44 years,Both sexes,Obese Class I,611600
2004,Canada,35 to 44 years,Both sexes,Obese Class II,272600
2004,Canada,35 to 44 years,Both sexes,Obese Class III,158700
2004,Canada,35 to 44 years,Males,Total Population,2576500
2004,Canada,35 to 44 years,Males,Normal Weight,848000
2004,Canada,35 to 44 years,Males,Overweight,1147100
2004,Canada,35 to 44 years,Males,Obese,514200
2004,Canada,35 to 44 years,Males,Obese Class I,315200
2004,Canada,35 to 44 years,Males,Obese Class II,154900
2004,Canada,35 to 44 years,Females,Total Population,2529200
2004,Canada,35 to 44 years,Females,Normal Weight,1256700
2004,Canada,35 to 44 years,Females,Overweight,699000
2004,Canada,35 to 44 years,Females,Obese,528700
2004,Canada,35 to 44 years,Females,Obese Class I,296400
2004,Canada,35 to 44 years,Females,Obese Class II,117700
2004,Canada,35 to 44 years,Females,Obese Class III,114600
2004,Canada,45 to 64 years,Both sexes,Total Population,8138700
